,index,start_time,open,high,low,close,position,k1,kk1,kkk1,k2,kk2,do,ko
23,23,2017-08-17T22:18:00+08:00,1312.0,1312.0,1312.0,1312.0,23388,0,0,-2,0,0,-612,-420
24,24,2017-08-17T22:21:00+08:00,1313.5,1314.0,1313.5,1314.0,23400,12,0,0,0,0,-600,-420
25,25,2017-08-17T22:26:00+08:00,1313.5,1314.0,1313.5,1314.0,23398,0,0,0,0,-2,-600,-422
26,26,2017-08-17T22:29:00+08:00,1313.5,1314.0,1313.0,1314.0,23400,2,0,0,0,0,-598,-422
27,27,2017-08-17T22:32:00+08:00,1310.5,1312.0,1310.5,1311.5,23354,0,0,0,0,-46,-598,-468
28,28,2017-08-17T22:35:00+08:00,1311.5,1311.5,1310.5,1310.5,23358,0,0,0,4,0,-598,-464
29,29,2017-08-17T22:38:00+08:00,1312.5,1312.5,1312.5,1312.5,23360,0,0,1,0,0,-597,-463
30,30,2017-08-17T22:41:00+08:00,1314.0,1314.0,1314.0,1314.0,23370,0,0,5,0,0,-592,-458
31,31,2017-08-17T22:45:00+08:00,1312.0,1312.0,1312.0,1312.0,23342,0,0,-14,0,0,-606,-472
32,32,2017-08-17T22:48:00+08:00,1313.0,1313.0,1313.0,1313.0,23346,0,0,2,0,0,-604,-470
33,33,2017-08-17T22:52:00+08:00,1312.5,1312.5,1312.5,1312.5,23342,0,0,-2,0,0,-606,-472
34,34,2017-08-17T22:56:00+08:00,1313.5,1317.0,1313.5,1317.0,23300,0,0,0,0,-42,-606,-514
35,35,2017-08-17T22:59:00+08:00,1314.5,1316.0,1314.5,1316.0,23286,0,0,0,0,-14,-606,-528
36,36,2017-08-17T23:02:00+08:00,1319.0,1319.5,1319.0,1319.5,23296,10,0,0,0,0,-596,-528
37,37,2017-08-17T23:05:00+08:00,1320.0,1320.0,1319.5,1319.5,23246,0,-50,0,0,0,-646,-528
38,38,2017-08-17T23:08:00+08:00,1319.5,1319.5,1317.5,1317.5,23222,0,-24,0,0,0,-670,-528
39,39,2017-08-17T23:11:00+08:00,1317.0,1318.0,1317.0,1318.0,23210,0,0,0,0,-12,-670,-540
40,40,2017-08-17T23:15:00+08:00,1315.5,1316.5,1315.5,1315.5,23212,0,0,1,0,0,-669,-539
41,41,2017-08-17T23:18:00+08:00,1314.5,1314.5,1314.5,1314.5,23204,0,0,-4,0,0,-673,-543
42,42,2017-08-17T23:25:00+08:00,1313.0,1313.0,1312.5,1312.5,23194,0,-10,0,0,0,-683,-543
43,43,2017-08-17T23:29:00+08:00,1310.5,1312.0,1310.5,1312.0,23126,0,0,0,0,-68,-683,-611
44,44,2017-08-18T09:02:00+08:00,1315.0,1315.0,1315.0,1315.0,23084,0,0,-21,0,0,-704,-632
45,45,2017-08-18T09:05:00+08:00,1314.0,1314.5,1313.5,1313.5,23098,0,0,0,14,0,-704,-618
46,46,2017-08-18T09:08:00+08:00,1312.0,1312.5,1312.0,1312.0,23068,0,0,-15,0,0,-719,-633
47,47,2017-08-18T09:11:00+08:00,1311.5,1313.5,1310.5,1313.5,23012,0,0,0,0,-56,-719,-689
48,48,2017-08-17T09:00:00+08:00,1291.0,1306.0,1290.0,1302.0,25848,2836,0,0,0,0,2117,-689
49,49,2017-08-17T09:01:00+08:00,1302.0,1302.0,1294.0,1295.5,25750,0,-98,0,0,0,2019,-689
50,50,2017-08-17T09:02:00+08:00,1294.0,1297.0,1292.5,1292.5,25716,0,-34,0,0,0,1985,-689
51,51,2017-08-17T09:03:00+08:00,1292.5,1295.5,1292.0,1295.5,25702,0,0,0,0,-14,1985,-703
52,52,2017-08-17T09:04:00+08:00,1295.0,1295.0,1293.0,1293.0,25692,0,-10,0,0,0,1975,-703
53,53,2017-08-17T09:05:00+08:00,1293.5,1295.0,1293.0,1295.0,25684,0,0,0,0,-8,1975,-711
54,54,2017-08-17T09:06:00+08:00,1294.5,1296.5,1294.0,1294.0,25652,0,-32,0,0,0,1943,-711
55,55,2017-08-17T09:07:00+08:00,1294.0,1295.0,1293.5,1293.5,25630,0,-22,0,0,0,1921,-711
56,56,2017-08-17T09:08:00+08:00,1293.5,1296.0,1293.5,1295.5,25618,0,0,0,0,-12,1921,-723
57,57,2017-08-17T09:09:00+08:00,1295.0,1296.0,1294.0,1296.0,25592,0,0,0,0,-26,1921,-749
58,58,2017-08-17T09:30:00+08:00,1302.0,1302.5,1299.0,1299.0,25366,0,-226,0,0,0,1695,-749
59,59,2017-08-17T09:31:00+08:00,1299.0,1302.0,1299.0,1300.5,25384,18,0,0,0,0,1713,-749
60,60,2017-08-17T09:32:00+08:00,1300.5,1302.5,1300.0,1301.0,25342,0,0,0,0,-42,1713,-791
61,61,2017-08-17T09:33:00+08:00,1301.0,1302.5,1301.0,1301.5,25340,0,0,0,0,-2,1713,-793
62,62,2017-08-17T09:34:00+08:00,1303.0,1303.0,1301.0,1301.0,25346,0,0,0,6,0,1713,-787
63,63,2017-08-17T09:35:00+08:00,1303.0,1303.5,1301.0,1302.0,25322,0,-24,0,0,0,1689,-787
64,64,2017-08-17T09:36:00+08:00,1301.0,1301.0,1299.5,1301.0,25318,0,0,-2,0,0,1687,-789
65,65,2017-08-17T09:37:00+08:00,1301.0,1303.5,1300.5,1303.5,25334,16,0,0,0,0,1703,-789
66,66,2017-08-17T09:38:00+08:00,1303.5,1304.0,1302.0,1303.5,25334,0,0,0,0,0,1703,-789
67,67,2017-08-17T09:39:00+08:00,1303.0,1303.5,1303.0,1303.5,25334,0,0,0,0,0,1703,-789
